Categoria: Automóveis e veículos

Semana,dívida: (Brasil),assédio: (Brasil),ligações: (Brasil),ASSESSORIA: (Brasil),depressão: (Brasil)
2024-02-04,17,41,0,8,0
2024-02-11,11,28,0,0,0
2024-02-18,18,37,0,5,0
2024-02-25,16,42,0,6,4
2024-03-03,15,42,0,6,0
2024-03-10,13,44,0,6,0
2024-03-17,16,53,5,6,0
2024-03-24,15,51,0,0,0
2024-03-31,18,43,0,7,0
2024-04-07,12,47,0,5,0
2024-04-14,8,44,0,6,0
2024-04-21,14,50,0,0,0
2024-04-28,11,50,0,6,0
2024-05-05,10,49,0,7,0
2024-05-12,13,43,0,8,4
2024-05-19,9,60,0,9,0
2024-05-26,12,40,0,0,0
2024-06-02,12,44,0,6,0
2024-06-09,13,44,0,0,0
2024-06-16,12,45,4,0,5
2024-06-23,11,37,0,7,0
2024-06-30,11,36,0,0,0
2024-07-07,12,39,0,5,0
2024-07-14,10,31,0,0,6
2024-07-21,15,35,0,0,0
2024-07-28,14,36,0,5,0
2024-08-04,15,30,5,4,0
2024-08-11,13,39,0,6,0
2024-08-18,12,43,0,7,6
2024-08-25,15,40,0,4,0
2024-09-01,14,53,5,5,4
2024-09-08,18,48,0,6,6
2024-09-15,13,42,5,7,0
2024-09-22,15,50,5,6,4
2024-09-29,19,47,5,0,0
2024-10-06,16,40,0,0,4
2024-10-13,18,36,0,7,0
2024-10-20,17,45,0,6,0
2024-10-27,21,46,6,7,0
2024-11-03,20,43,0,9,0
2024-11-10,20,42,0,5,0
2024-11-17,20,33,0,8,0
2024-11-24,18,39,0,0,0
2024-12-01,14,37,0,6,7
2024-12-08,21,36,0,7,0
2024-12-15,23,32,0,6,0
2024-12-22,15,21,0,0,0
2024-12-29,22,16,0,0,0
2025-01-05,26,26,0,5,0
2025-01-12,27,22,0,11,0
2025-01-19,18,31,0,8,0
2025-01-26,18,34,0,8,0
2025-02-02,20,28,0,8,0
2025-02-09,15,35,5,8,0
2025-02-16,18,35,0,8,0
2025-02-23,19,33,5,8,0
2025-03-02,11,23,0,5,0
2025-03-09,15,38,0,5,0
2025-03-16,15,40,0,0,0
2025-03-23,20,44,0,9,0
2025-03-30,11,39,0,5,0
2025-04-06,19,30,5,5,0
2025-04-13,9,35,0,5,0
2025-04-20,33,27,0,5,0
2025-04-27,43,34,0,7,0
2025-05-04,16,39,0,9,5
2025-05-11,10,39,6,6,0
2025-05-18,16,37,0,0,0
2025-05-25,17,34,0,0,0
2025-06-01,12,35,0,7,0
2025-06-08,16,34,0,6,0
2025-06-15,12,25,0,0,0
2025-06-22,16,31,0,7,0
2025-06-29,17,32,0,5,0
2025-07-06,19,26,0,0,0
2025-07-13,18,32,0,8,0
2025-07-20,14,26,0,7,0
2025-07-27,12,26,0,6,0
2025-08-03,17,33,6,5,0
2025-08-10,17,34,7,6,0
2025-08-17,21,36,5,6,5
2025-08-24,19,40,0,9,6
2025-08-31,19,29,0,0,0
2025-09-07,18,32,0,6,0
2025-09-14,17,36,0,5,0
2025-09-21,19,39,0,6,0
2025-09-28,15,31,0,5,0
2025-10-05,17,31,7,0,0
2025-10-12,19,34,0,13,0
2025-10-19,16,35,0,7,0
2025-10-26,17,31,0,7,0
2025-11-02,18,36,0,7,0
2025-11-09,26,32,0,7,0
2025-11-16,18,30,0,0,0
2025-11-23,21,29,0,0,0
2025-11-30,19,28,0,5,0
2025-12-07,22,24,0,6,0
2025-12-14,26,24,0,8,7
2025-12-21,19,18,0,0,0
2025-12-28,26,13,0,0,0
2026-01-04,34,19,0,7,0
2026-01-11,33,24,0,8,0
2026-01-18,28,38,5,5,0
2026-01-25,27,26,0,5,0
2026-02-01,26,32,4,4,0
2026-02-08,23,32,0,6,0
2026-02-15,21,26,6,5,0
2026-02-22,26,28,3,5,2
2026-03-01,24,29,3,6,2
2026-03-08,0,25,0,0,0
